Learning rate: 1e-05, Optimizer: SGD, Scheduler: ExponentialLR
100 epochs in total, 10 batches per epoch
Epoch = 0, Loss = 9.394547176361083, Acc = 0.0
Epoch = 1, Loss = 9.394547176361083, Acc = 0.0
Epoch = 2, Loss = 9.394547176361083, Acc = 0.0
Epoch = 3, Loss = 9.394547176361083, Acc = 0.0
Epoch = 4, Loss = 9.394547176361083, Acc = 0.0
Epoch = 5, Loss = 9.394547176361083, Acc = 0.0
Epoch = 6, Loss = 9.394547176361083, Acc = 0.0
Epoch = 7, Loss = 9.394547176361083, Acc = 0.0
Epoch = 8, Loss = 9.394547176361083, Acc = 0.0
Epoch = 9, Loss = 9.394547176361083, Acc = 0.0
Epoch = 10, Loss = 9.394547176361083, Acc = 0.0
Epoch = 11, Loss = 9.394547176361083, Acc = 0.0
Epoch = 12, Loss = 9.394547176361083, Acc = 0.0
Epoch = 13, Loss = 9.394547176361083, Acc = 0.0
Epoch = 14, Loss = 9.394547176361083, Acc = 0.0
Epoch = 15, Loss = 9.394547176361083, Acc = 0.0
Epoch = 16, Loss = 9.394547176361083, Acc = 0.0
Epoch = 17, Loss = 9.394547176361083, Acc = 0.0
Epoch = 18, Loss = 9.394547176361083, Acc = 0.0
Epoch = 19, Loss = 9.394547176361083, Acc = 0.0
Epoch = 20, Loss = 9.394547176361083, Acc = 0.0
Epoch = 21, Loss = 9.394547176361083, Acc = 0.0
Epoch = 22, Loss = 9.394547176361083, Acc = 0.0
Epoch = 23, Loss = 9.394547176361083, Acc = 0.0
Epoch = 24, Loss = 9.394547176361083, Acc = 0.0
Epoch = 25, Loss = 9.394547176361083, Acc = 0.0
Epoch = 26, Loss = 9.394547176361083, Acc = 0.0
Epoch = 27, Loss = 9.394547176361083, Acc = 0.0
Epoch = 28, Loss = 9.394547176361083, Acc = 0.0
Epoch = 29, Loss = 9.394547176361083, Acc = 0.0
Epoch = 30, Loss = 9.394547176361083, Acc = 0.0
Epoch = 31, Loss = 9.394547176361083, Acc = 0.0
Epoch = 32, Loss = 9.394547176361083, Acc = 0.0
Epoch = 33, Loss = 9.394547176361083, Acc = 0.0
Epoch = 34, Loss = 9.394547176361083, Acc = 0.0
Epoch = 35, Loss = 9.394547176361083, Acc = 0.0
Epoch = 36, Loss = 9.394547176361083, Acc = 0.0
Epoch = 37, Loss = 9.394547176361083, Acc = 0.0
Epoch = 38, Loss = 9.394547176361083, Acc = 0.0
Epoch = 39, Loss = 9.394547176361083, Acc = 0.0
Epoch = 40, Loss = 9.394547176361083, Acc = 0.0
Epoch = 41, Loss = 9.394547176361083, Acc = 0.0
Epoch = 42, Loss = 9.394547176361083, Acc = 0.0
Epoch = 43, Loss = 9.394547176361083, Acc = 0.0
Epoch = 44, Loss = 9.394547176361083, Acc = 0.0
Epoch = 45, Loss = 9.394547176361083, Acc = 0.0
Epoch = 46, Loss = 9.394547176361083, Acc = 0.0
Epoch = 47, Loss = 9.394547176361083, Acc = 0.0
Epoch = 48, Loss = 9.394547176361083, Acc = 0.0
Epoch = 49, Loss = 9.394547176361083, Acc = 0.0
Epoch = 50, Loss = 9.394547176361083, Acc = 0.0
Epoch = 51, Loss = 9.394547176361083, Acc = 0.0
Epoch = 52, Loss = 9.394547176361083, Acc = 0.0
Epoch = 53, Loss = 9.394547176361083, Acc = 0.0
Epoch = 54, Loss = 9.394547176361083, Acc = 0.0
Epoch = 55, Loss = 9.394547176361083, Acc = 0.0
Epoch = 56, Loss = 9.394547176361083, Acc = 0.0
Epoch = 57, Loss = 9.394547176361083, Acc = 0.0
Epoch = 58, Loss = 9.394547176361083, Acc = 0.0
Epoch = 59, Loss = 9.394547176361083, Acc = 0.0
Epoch = 60, Loss = 9.394547176361083, Acc = 0.0
Epoch = 61, Loss = 9.394547176361083, Acc = 0.0
Epoch = 62, Loss = 9.394547176361083, Acc = 0.0
Epoch = 63, Loss = 9.394547176361083, Acc = 0.0
Epoch = 64, Loss = 9.394547176361083, Acc = 0.0
Epoch = 65, Loss = 9.394547176361083, Acc = 0.0
Epoch = 66, Loss = 9.394547176361083, Acc = 0.0
Epoch = 67, Loss = 9.394547176361083, Acc = 0.0
Epoch = 68, Loss = 9.394547176361083, Acc = 0.0
Epoch = 69, Loss = 9.394547176361083, Acc = 0.0
Epoch = 70, Loss = 9.394547176361083, Acc = 0.0
Epoch = 71, Loss = 9.394547176361083, Acc = 0.0
Epoch = 72, Loss = 9.394547176361083, Acc = 0.0
Epoch = 73, Loss = 9.394547176361083, Acc = 0.0
Epoch = 74, Loss = 9.394547176361083, Acc = 0.0
Epoch = 75, Loss = 9.394547176361083, Acc = 0.0
Epoch = 76, Loss = 9.394547176361083, Acc = 0.0
Epoch = 77, Loss = 9.394547176361083, Acc = 0.0
Epoch = 78, Loss = 9.394547176361083, Acc = 0.0
Epoch = 79, Loss = 9.394547176361083, Acc = 0.0
Epoch = 80, Loss = 9.394547176361083, Acc = 0.0
Epoch = 81, Loss = 9.394547176361083, Acc = 0.0
Epoch = 82, Loss = 9.394547176361083, Acc = 0.0
Epoch = 83, Loss = 9.394547176361083, Acc = 0.0
Epoch = 84, Loss = 9.394547176361083, Acc = 0.0
Epoch = 85, Loss = 9.394547176361083, Acc = 0.0
Epoch = 86, Loss = 9.394547176361083, Acc = 0.0
Epoch = 87, Loss = 9.394547176361083, Acc = 0.0
Epoch = 88, Loss = 9.394547176361083, Acc = 0.0
Epoch = 89, Loss = 9.394547176361083, Acc = 0.0
Epoch = 90, Loss = 9.394547176361083, Acc = 0.0
Epoch = 91, Loss = 9.394547176361083, Acc = 0.0
Epoch = 92, Loss = 9.394547176361083, Acc = 0.0
Epoch = 93, Loss = 9.394547176361083, Acc = 0.0
Epoch = 94, Loss = 9.394547176361083, Acc = 0.0
Epoch = 95, Loss = 9.394547176361083, Acc = 0.0
Epoch = 96, Loss = 9.394547176361083, Acc = 0.0
Epoch = 97, Loss = 9.394547176361083, Acc = 0.0
Epoch = 98, Loss = 9.394547176361083, Acc = 0.0
Epoch = 99, Loss = 9.394547176361083, Acc = 0.0
